# ASRS Modification Log
# Format: VERSION_ID | TIMESTAMP | ACTION | TARGET | BLOCK_ID | AUTHOR | DESCRIPTION
# Newest entries at top (head of file)

ASRS-1.0.0 | 2026-07-23T11:15:00Z | CREATE | examples/login.yaml | BLOCK-PROJECT-LOGIN | agent | Initial creation
ASRS-1.0.0 | 2026-07-23T11:15:00Z | CREATE | examples/login.yaml | BLOCK-PRINCIPAL-USER | agent | Initial creation
ASRS-1.0.0 | 2026-07-23T11:15:00Z | CREATE | examples/login.yaml | BLOCK-FEATURE-AUTH | agent | Initial creation
ASRS-1.0.0 | 2026-07-23T11:15:00Z | CREATE | examples/login.yaml | BLOCK-SCENARIO-LOGIN | agent | Initial creation
ASRS-1.0.0 | 2026-07-23T11:15:00Z | CREATE | examples/login.yaml | BLOCK-SCENARIO-LOGOUT | agent | Initial creation
ASRS-1.0.0 | 2026-07-23T11:15:00Z | CREATE | examples/login.yaml | BLOCK-COMPONENT-WEB | agent | Initial creation
ASRS-1.0.0 | 2026-07-23T11:15:00Z | CREATE | examples/login.yaml | BLOCK-COMPONENT-AUTH | agent | Initial creation
ASRS-1.0.0 | 2026-07-23T11:15:00Z | CREATE | examples/login.yaml | BLOCK-RESOURCE-SESSIONS | agent | Initial creation
ASRS-1.0.0 | 2026-07-23T11:15:00Z | CREATE | examples/login.yaml | BLOCK-RESOURCE-USERS | agent | Initial creation
ASRS-1.0.0 | 2026-07-23T11:15:00Z | CREATE | examples/login.yaml | BLOCK-TEST-LOGIN | agent | Initial creation
ASRS-1.0.0 | 2026-07-23T11:15:00Z | CREATE | examples/login.yaml | BLOCK-TEST-LOGOUT | agent | Initial creation
ASRS-1.0.0 | 2026-07-23T11:15:00Z | CREATE | examples/books.yaml | BLOCK-PROJECT-BOOKS | agent | Initial creation
ASRS-1.0.0 | 2026-07-23T11:15:00Z | CREATE | examples/books.yaml | BLOCK-PRINCIPAL-USER | agent | Initial creation
